NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP	GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP	Details ...	73	0.72157294	2.4617054	0.0	0.0	0.0	919	tags=37%, list=7%, signal=39%	
GSE1460_DP_VS_CD4_THYMOCYTE_DN	GSE1460_DP_VS_CD4_THYMOCYTE_DN	Details ...	129	0.6667761	2.4532413	0.0	0.0	0.0	1714	tags=40%, list=12%, signal=45%	
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN	FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN	Details ...	113	0.67095107	2.450235	0.0	0.0	0.0	1254	tags=35%, list=9%, signal=39%	
GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP	GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP	Details ...	158	0.66073465	2.44884	0.0	0.0	0.0	1439	tags=41%, list=10%, signal=45%	
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN	FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN	Details ...	163	0.63879853	2.4457626	0.0	0.0	0.0	1387	tags=34%, list=10%, signal=38%	
GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP	GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP	Details ...	149	0.65390146	2.4416077	0.0	0.0	0.0	1453	tags=32%, list=10%, signal=36%	
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP	GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP	Details ...	131	0.65561694	2.432229	0.0	0.0	0.0	1598	tags=35%, list=11%, signal=39%	
HOEK_NK_CELL_2011_2012_TIV_3D_VS_0DY_ADULT_3D_DN	HOEK_NK_CELL_2011_2012_TIV_3D_VS_0DY_ADULT_3D_DN	Details ...	105	0.6824811	2.4225793	0.0	0.0	0.0	1237	tags=41%, list=9%, signal=45%	
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_IL2_CULTURE_DN	GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_IL2_CULTURE_DN	Details ...	80	0.6972649	2.407487	0.0	0.0	0.0	2049	tags=45%, list=15%, signal=52%	
GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_UP	GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_UP	Details ...	172	0.6321959	2.4031148	0.0	0.0	0.0	1823	tags=41%, list=13%, signal=47%	
GSE29618_MONOCYTE_VS_MDC_UP	GSE29618_MONOCYTE_VS_MDC_UP	Details ...	130	0.65794224	2.3983097	0.0	0.0	0.0	1457	tags=41%, list=10%, signal=45%	
GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP	GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP	Details ...	163	0.6264746	2.396533	0.0	0.0	0.0	1852	tags=38%, list=13%, signal=43%	
GSE557_WT_VS_I_AB_KO_DC_UP	GSE557_WT_VS_I_AB_KO_DC_UP	Details ...	181	0.62069786	2.3962414	0.0	0.0	0.0	2708	tags=50%, list=19%, signal=61%	
GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP	GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP	Details ...	89	0.69500667	2.3936894	0.0	0.0	0.0	919	tags=37%, list=7%, signal=39%	
GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_UP	GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_UP	Details ...	182	0.61832535	2.3799496	0.0	0.0	0.0	1817	tags=41%, list=13%, signal=46%	
GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_WITH_IL2_TREATMENT_DN	GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_WITH_IL2_TREATMENT_DN	Details ...	157	0.63123107	2.3791988	0.0	0.0	0.0	2057	tags=40%, list=15%, signal=46%	
GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_UP	GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_UP	Details ...	169	0.62261903	2.3668156	0.0	0.0	0.0	2078	tags=41%, list=15%, signal=48%	
GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	Details ...	158	0.6234924	2.3662891	0.0	0.0	0.0	1592	tags=39%, list=11%, signal=44%	
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP	GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP	Details ...	156	0.62192154	2.3648667	0.0	0.0	0.0	1998	tags=47%, list=14%, signal=55%	
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN	GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN	Details ...	134	0.64540917	2.3600988	0.0	0.0	0.0	1507	tags=39%, list=11%, signal=43%	
GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP	GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP	Details ...	132	0.6352877	2.3522274	0.0	0.0	0.0	1486	tags=35%, list=11%, signal=39%	
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN	GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN	Details ...	142	0.6311467	2.3517354	0.0	0.0	0.0	1307	tags=37%, list=9%, signal=41%	
GSE33425_CD161_INT_VS_NEG_CD8_TCELL_DN	GSE33425_CD161_INT_VS_NEG_CD8_TCELL_DN	Details ...	187	0.61202335	2.3514345	0.0	0.0	0.0	1958	tags=43%, list=14%, signal=49%	
GSE23568_ID3_TRANSDUCED_VS_ID3_KO_CD8_TCELL_DN	GSE23568_ID3_TRANSDUCED_VS_ID3_KO_CD8_TCELL_DN	Details ...	174	0.6037704	2.346908	0.0	0.0	0.0	2026	tags=42%, list=14%, signal=48%	
GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP	GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP	Details ...	130	0.62364906	2.3432589	0.0	0.0	0.0	1119	tags=29%, list=8%, signal=31%	
GSE6259_DEC205_POS_DC_VS_CD8_TCELL_DN	GSE6259_DEC205_POS_DC_VS_CD8_TCELL_DN	Details ...	85	0.6753501	2.3424122	0.0	0.0	0.0	1425	tags=29%, list=10%, signal=33%	
GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_DN	GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_DN	Details ...	159	0.6230392	2.3409703	0.0	0.0	0.0	1891	tags=38%, list=13%, signal=43%	
GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	Details ...	163	0.6130439	2.3248641	0.0	0.0	0.0	1844	tags=48%, list=13%, signal=54%	
GSE14415_INDUCED_TREG_VS_TCONV_DN	GSE14415_INDUCED_TREG_VS_TCONV_DN	Details ...	138	0.6184973	2.3215718	0.0	0.0	0.0	2468	tags=43%, list=18%, signal=51%	
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP	ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP	Details ...	78	0.6731965	2.3210769	0.0	0.0	0.0	1852	tags=41%, list=13%, signal=47%	
GSE17974_0H_VS_24H_IN_VITRO_ACT_CD4_TCELL_UP	GSE17974_0H_VS_24H_IN_VITRO_ACT_CD4_TCELL_UP	Details ...	121	0.63209707	2.318932	0.0	0.0	0.0	2067	tags=40%, list=15%, signal=46%	
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	Details ...	122	0.6333028	2.3179986	0.0	0.0	0.0	1065	tags=29%, list=8%, signal=31%	
GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP	GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP	Details ...	158	0.61643845	2.3144572	0.0	0.0	0.0	1831	tags=37%, list=13%, signal=42%	
GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP	GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP	Details ...	77	0.67786616	2.3137462	0.0	0.0	0.0	1231	tags=36%, list=9%, signal=40%	
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP	GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP	Details ...	151	0.62136954	2.3111491	0.0	0.0	0.0	2046	tags=40%, list=15%, signal=47%	
GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	Details ...	131	0.6153497	2.3060434	0.0	0.0	0.0	2394	tags=44%, list=17%, signal=52%	
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	Details ...	147	0.60538	2.3023598	0.0	0.0	0.0	1893	tags=35%, list=13%, signal=40%	
GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN	GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN	Details ...	138	0.6117737	2.2992404	0.0	0.0	0.0	1691	tags=42%, list=12%, signal=47%	
KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN	KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN	Details ...	171	0.5974675	2.2979736	0.0	0.0	0.0	2106	tags=42%, list=15%, signal=49%	
GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_DN	GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_DN	Details ...	122	0.62401545	2.2975624	0.0	0.0	0.0	2185	tags=46%, list=16%, signal=54%	
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP	GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP	Details ...	119	0.62418526	2.296787	0.0	0.0	0.0	2039	tags=45%, list=14%, signal=52%	
GSE40274_FOXP3_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_FOXP3_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	Details ...	148	0.61175704	2.2957845	0.0	0.0	0.0	1674	tags=36%, list=12%, signal=41%	
GSE14415_NATURAL_TREG_VS_TCONV_UP	GSE14415_NATURAL_TREG_VS_TCONV_UP	Details ...	126	0.61485463	2.2952676	0.0	0.0	0.0	1333	tags=35%, list=9%, signal=38%	
GSE22886_DC_VS_MONOCYTE_DN	GSE22886_DC_VS_MONOCYTE_DN	Details ...	148	0.6181352	2.2947555	0.0	0.0	0.0	2069	tags=43%, list=15%, signal=50%	
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP	Details ...	149	0.61099005	2.28691	0.0	0.0	0.0	1929	tags=38%, list=14%, signal=44%	
GSE31082_DN_VS_CD8_SP_THYMOCYTE_DN	GSE31082_DN_VS_CD8_SP_THYMOCYTE_DN	Details ...	161	0.60772353	2.2827106	0.0	0.0	0.0	1732	tags=32%, list=12%, signal=36%	
GSE40273_GATA1_KO_VS_WT_TREG_DN	GSE40273_GATA1_KO_VS_WT_TREG_DN	Details ...	184	0.5934458	2.2815528	0.0	0.0	0.0	1446	tags=33%, list=10%, signal=36%	
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN	GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN	Details ...	129	0.60578185	2.2799752	0.0	0.0	0.0	1858	tags=39%, list=13%, signal=44%	
GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_UP	GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_UP	Details ...	147	0.6082528	2.279904	0.0	0.0	0.0	1611	tags=33%, list=11%, signal=37%	
GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	Details ...	127	0.6097383	2.2744486	0.0	0.0	0.0	1467	tags=43%, list=10%, signal=48%	
GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_DN	GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_DN	Details ...	137	0.6149683	2.2741632	0.0	0.0	0.0	1920	tags=34%, list=14%, signal=39%	
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP	GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP	Details ...	161	0.5997471	2.2735114	0.0	0.0	0.0	1528	tags=34%, list=11%, signal=38%	
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN	GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN	Details ...	147	0.6098061	2.270432	0.0	0.0	0.0	1294	tags=30%, list=9%, signal=33%	
GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_UP	GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_UP	Details ...	161	0.59446526	2.2613657	0.0	0.0	0.0	1557	tags=36%, list=11%, signal=40%	
GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_UP	GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_UP	Details ...	138	0.6016724	2.2587345	0.0	0.0	0.0	1425	tags=32%, list=10%, signal=35%	
GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_UP	GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_UP	Details ...	183	0.58297324	2.2585688	0.0	0.0	0.0	1166	tags=36%, list=8%, signal=39%	
GSE29618_MONOCYTE_VS_PDC_UP	GSE29618_MONOCYTE_VS_PDC_UP	Details ...	132	0.60984993	2.2573805	0.0	0.0	0.0	1011	tags=35%, list=7%, signal=37%	
GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP	GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP	Details ...	157	0.5931567	2.2525706	0.0	0.0	0.0	1574	tags=40%, list=11%, signal=45%	
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	Details ...	143	0.6020039	2.2431912	0.0	0.0	0.0	1677	tags=37%, list=12%, signal=42%	
GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_UP	GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_UP	Details ...	157	0.6008504	2.2387018	0.0	0.0	0.0	1426	tags=34%, list=10%, signal=37%	
GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP	GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP	Details ...	120	0.6104636	2.2340984	0.0	0.0	0.0	1687	tags=30%, list=12%, signal=34%	
GSE30083_SP1_VS_SP4_THYMOCYTE_DN	GSE30083_SP1_VS_SP4_THYMOCYTE_DN	Details ...	155	0.58867466	2.2340865	0.0	0.0	0.0	1920	tags=35%, list=14%, signal=41%	
GSE25677_MPL_VS_R848_STIM_BCELL_UP	GSE25677_MPL_VS_R848_STIM_BCELL_UP	Details ...	152	0.5913946	2.232863	0.0	0.0	0.0	1393	tags=36%, list=10%, signal=39%	
GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN	GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN	Details ...	157	0.59551936	2.231716	0.0	0.0	0.0	1489	tags=38%, list=11%, signal=42%	
GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_DN	GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_DN	Details ...	156	0.5875212	2.2289035	0.0	0.0	0.0	1998	tags=38%, list=14%, signal=44%	
GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	Details ...	173	0.5817756	2.2279127	0.0	0.0	0.0	1746	tags=38%, list=12%, signal=43%	
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP	GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP	Details ...	154	0.5916897	2.225319	0.0	0.0	0.0	1547	tags=36%, list=11%, signal=40%	
GSE21360_NAIVE_VS_SECONDARY_MEMORY_CD8_TCELL_DN	GSE21360_NAIVE_VS_SECONDARY_MEMORY_CD8_TCELL_DN	Details ...	138	0.5985191	2.2243986	0.0	0.0	0.0	1790	tags=36%, list=13%, signal=41%	
GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_UP	GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_UP	Details ...	130	0.6041541	2.223311	0.0	0.0	0.0	1287	tags=29%, list=9%, signal=32%	
GSE26488_WT_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN	GSE26488_WT_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN	Details ...	156	0.5871904	2.222304	0.0	0.0	0.0	1522	tags=35%, list=11%, signal=38%	
GSE29618_BCELL_VS_MONOCYTE_DN	GSE29618_BCELL_VS_MONOCYTE_DN	Details ...	145	0.5890988	2.2221556	0.0	0.0	0.0	1592	tags=37%, list=11%, signal=41%	
GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_DN	GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_DN		178	0.58007485	2.2208385	0.0	0.0	0.0	1745	tags=38%, list=12%, signal=42%	
