© 2000-2022 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
TP53	 	transcription regulator	Activated	2.252	7.63E-20	9.68E-18	ADGRE5,ADRB2,AHCY,ANXA6,APOE,ASF1B,ASS1,ATP5MC3,AURKA,AURKB	161 (5)
RRP1B	 	transcription regulator	 	 	1.13E-19	1.34E-17	AURKA,BIRC5,CCNA2,CCNB2,CCND3,CCNE1,CDC20,CDC25C,CDC6,CDK1	 
E2f	 	group	Inhibited	-3.569	3.54E-19	3.96E-17	CCNA2,CCNB1,CCNE1,CDC25C,CDC6,CDK1,E2F1,E2F8,KNTC1,MCM3	 
SLC15A4	 	transporter	 	-1.531	1.03E-17	1.09E-15	ASNS,CCNA2,CCNB2,CD72,CDC20,CKAP4,EZH2,FILIP1L,FOS,GINS2	 
STAT6	 	transcription regulator	Inhibited	-3.197	2.86E-16	2.86E-14	Acp5,AHNAK,APOE,ASS1,BCL2,BCL6,CCND2,CCR7,CD2,CD38	203 (13)
BNIP3L	1.160	other	Activated	3.965	3.74E-16	3.56E-14	ALAS2,AURKA,CCNA2,CCND3,CD47,CDKN3,CENPE,CENPF,CHEK1,CKAP2	 
VDR	 	transcription regulator	Inhibited	-2.937	8.42E-16	7.63E-14	ARHGEF3,BCL2,BUB1B,CCNB1,CCND2,CCND3,CDC20,CDC45,CEBPB,CENPA	 
ID3	 	transcription regulator	Activated	2.354	5.27E-15	4.56E-13	ADM,BCL2,BCL6,BTG2,CCNB1,CCND2,CCNE1,CCR1,CCR7,CDC25B	 
ID2	 	transcription regulator	Activated	2.360	9.24E-15	7.65E-13	ADM,AICDA,AURKB,BCL2,BCL6,BTG2,CCNB1,CCND2,CCNE1,CCR1	 
DYRK1A	 	kinase	Activated	3.305	2.59E-14	2.05E-12	CCNB1,CDC25C,CDC6,CDK1,E2F1,E2F8,KNTC1,MCM3,MCM4,MYBL2	37 (4)
E2F1	-3.810	transcription regulator	 	-0.977	1.39E-13	1.06E-11	BCL2,CCNA2,CCNB1,CCNB2,CCND3,CCNE1,CDK1,CDK2,CDKN1B,DHFR	184 (7)
PCLAF	-6.252	other	Inhibited	-2.530	5.12E-13	3.75E-11	AURKA,BUB1,CCNB1,CENPE,FOXM1,KLF4,NEK2,PLK1,TOP2A,UBE2C	 
GON4L	 	transcription regulator	 	 	7.20E-13	5.07E-11	CCNA2,CCNB1,CCNB2,CCND2,CCND3,CCNF,MKI67,RAD21,RBL1,SKP2	 
ADRB	 	group	 	-0.062	1.77E-12	1.20E-10	AACS,ACAT2,ANGPTL4,ANXA5,ARHGEF3,BAD,BHLHE40,BNIP3L,CCNA2,CCNE1	 
CREB1	 	transcription regulator	Activated	3.209	5.75E-12	3.78E-10	APOE,BCL2,BHLHE40,BTG2,CCNB2,CEBPB,Chil3/Chil4,CYP51A1,EGR1,FOS	26 (2)
ATP7B	 	transporter	 	-0.500	1.03E-11	6.54E-10	AACS,CDC20,CKS1B,CYP51A1,FDFT1,FDPS,HMGCR,HMGCS1,IDI1,MAD2L1	 
TAZ	1.411	enzyme	Inhibited	-2.555	4.01E-11	2.46E-09	ANXA5,BANK1,BCL7A,CCAR2,CCNB1,CCND3,CCNE1,CCR7,CD69,CD72	 
NTRK2	 	kinase	Inhibited	-2.906	1.29E-10	7.66E-09	CCNA2,CCNE1,CDC6,CDCA3,CDCA5,CDCA8,CDK1,CDKN2C,CEBPB,E2F1	133 (4)
PPARA	 	ligand-dependent nuclear receptor	 	-0.654	1.85E-10	1.07E-08	ACAT2,AHCY,ANGPTL4,ASNS,ASS1,AURKA,CCNA2,CCNB1,CDK1,CDK2	 
KAT2A	 	enzyme	Inhibited	-3.962	3.05E-10	1.68E-08	CDC25B,CDCA7,CHEK1,CKS2,CSRP2,E2F1,EZH2,FOXM1,H2AZ1,HMGA1	 
RBL2	 	other	Activated	2.173	3.09E-10	1.68E-08	AURKB,CCNA2,CCNB1,CCNE1,CDC25C,CDK1,CDKN1B,DHFR,E2F1,MYBL2	71 (4)
Irgm1	1.995	other	 	1.424	5.39E-10	2.85E-08	Apol9a/Apol9b,AURKB,B2M,BUB1,CCNA2,CCNB1,CCNB2,CDCA3,GBP2,GBP7	 
TPH1	 	enzyme	 	0.574	1.05E-09	5.39E-08	ASF1B,CDCA8,CTLA4,DLGAP5,FCMR,GIMAP4,GPR171,Gvin1 (includes others),HSPA1A/HSPA1B,IFI16	 
MYC	1.357	transcription regulator	Inhibited	-4.156	1.65E-09	8.25E-08	ABCG1,ANGPTL4,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCND2,CCND3,CCNE1	194 (9)
ZFP91	 	transcription regulator	Activated	2.333	1.69E-09	8.27E-08	BCAT1,CCNA2,CDK1,CHEK1,FADS2,IFI16,MAD2L1,RRM2,STMN1	 
CREM	 	transcription regulator	Activated	2.051	2.19E-09	1.04E-07	ANXA4,APOE,BHLHE40,BTG2,CEBPB,CYP51A1,EGR1,FOS,GADD45B,HMGCR	 
FOXP3	 	transcription regulator	 	-0.152	3.86E-09	1.79E-07	BCL2,CAPG,CCR1,CCR7,CD69,CTLA4,EGR1,EZH2,FOS,GBP2	 
CREBBP	 	transcription regulator	 	1.287	4.16E-09	1.88E-07	ADORA2A,ANXA6,ARHGAP24,ARHGEF3,BANK1,BCL6,BIRC5,CAPG,CCND2,CCND3	49 (2)
ZC3H12A	 	enzyme	 	-0.763	2.16E-08	9.55E-07	B4GALNT1,BCL2,CD38,CD72,CEBPB,CSRP2,CTSS,DUSP1,FCRL5,FOS	115 (6)
Rb	 	group	Activated	2.784	2.32E-08	9.94E-07	CCNA2,CCNE1,CDC6,CDCA3,CDK2,E2F1,FOXM1,MCM7,MYC,PCNA	 
CCND3	-3.212	kinase	 	 	2.35E-08	9.94E-07	CCND2,CDC6,CDK1,CDKN1B,E2F1,Iglv1,MCM3,MYBL2	161 (6)
NLRP3	 	other	Activated	2.887	4.95E-08	2.05E-06	BCL2,CD69,CDCA8,CDK2,Chil3/Chil4,Ear2 (includes others),ESPL1,GPR132,LIG1,PINK1	 
BCR (complex)	 	complex	Activated	2.181	7.59E-08	3.07E-06	B4GALT1,BANK1,BCL2,CCND2,CCND3,CCR6,CD69,CDKN1B,CTSS,EGR1	179 (16)
TCR	 	complex	 	1.713	9.05E-08	3.59E-06	ADORA2A,BACH2,BCAT1,BCL2,CCNE1,CCR6,CD69,CDKN1B,CTLA4,EGR1	192 (14)
IL10	 	cytokine	 	-0.622	1.59E-07	6.09E-06	AICDA,Ccl6,CCR1,CCR6,CCR7,CD2,CD274,CTSB,CTSC,CTSD	190 (11)
STK11	 	kinase	Inhibited	-3.929	1.60E-07	6.09E-06	AHCY,AK2,ASS1,ATP5MC3,ATP6V0E1,CD274,CTPS1,DCTPP1,DNMT1,DUT	 
KLF6	2.661	transcription regulator	 	1.955	2.21E-07	8.24E-06	ADM,AHR,ANGPTL4,ANXA5,BCL6,CCR1,CD274,CD38,CEBPB,CSF2RB	 
BHLHE40	2.634	transcription regulator	Activated	3.243	2.30E-07	8.40E-06	AARS1,AHR,B2M,BTG1,CAPG,CCR1,CCR7,CD274,CD38,CD47	144 (9)
CD3	 	complex	 	1.496	2.71E-07	9.75E-06	BCL2,BIRC5,CCND2,CCND3,CCNE1,CD69,CDK2,CDKN1B,CTLA4,FOS	208 (16)
E2F4	 	transcription regulator	 	 	2.94E-07	1.04E-05	CCNA2,DHFR,E2F1,FOXM1,MYBL2,MYC,PCNA,RBL1,RRM2,STMN1	 
RPTOR	 	other	 	-0.891	3.09E-07	1.07E-05	Acp5,BCL2,CCND2,CCND3,CCR7,CDK2,Chil3/Chil4,CTLA4,CYP51A1,FDFT1	 
MED1	 	transcription regulator	Inhibited	-3.035	4.32E-07	1.47E-05	AGPAT2,AURKA,AURKB,BCL6,BCL7A,BIRC5,CCNB1,CCNE1,CDC20,CDK1	 
MXD1	 	transcription regulator	Activated	2.840	6.60E-07	2.19E-05	BCL6,BUB1,CCNA2,CCNB2,CCND3,CDK1,CENPE,CENPF,Gar1,GCSAM	 
NPC1	 	transporter	Inhibited	-3.255	6.68E-07	2.19E-05	ABCG1,ACKR4,APOE,ATP6AP1,B2M,CCR1,CTSB,CTSD,CYP51A1,EGR1	24 (2)
FOXM1	-5.096	transcription regulator	Inhibited	-2.900	9.05E-07	2.92E-05	AURKB,CCNA2,CCNB1,CCNB2,CCNF,CDC20,CDC25B,CENPA,CKS1B,JUN	 
N6AMT1	 	enzyme	Inhibited	-2.610	1.09E-06	3.45E-05	ASPM,BCL2,BCL7A,CDCA7,CENPF,CIT,CKAP2,CNN3,ELL3,ESPL1	 
IL1B	 	cytokine	Activated	4.188	1.22E-06	3.81E-05	B2M,BTG2,CCNF,CDCA3,CDCA8,CSF2RB,EGR1,FOS,FOSB,GADD45B	202 (17)
SERCA	 	group	Inhibited	-2.191	1.29E-06	3.95E-05	BTG2,EGR1,JUN,MYC,ZFP36	65 (4)
INSIG1	 	other	 	1.386	1.53E-06	4.61E-05	AACS,ABCG1,APOE,CCR6,CCR7,CYP51A1,FADS1,FADS2,FDFT1,FDPS	17 (2)
ARNT	 	transcription regulator	 	-1.257	2.38E-06	7.06E-05	ADM,BCL2,CCND2,CCR7,ITGB3,KIF20A,LDHA,Macf1,RANBP1,RANGAP1	 
CDKN2A	 	transcription regulator	Activated	2.683	3.04E-06	8.90E-05	AURKB,BACH2,BCL2,BIRC5,BUB1B,CCR6,CCR7,CDK1,CDKN2C,CEBPB	195 (9)
HDAC1	 	transcription regulator	 	1.379	3.25E-06	9.36E-05	Acp5,BCL6,CCNB2,CCND2,CCNE1,CDC25C,CDKN1B,DHFR,EGR1,FOXM1	 
ROR2	 	kinase	 	 	3.70E-06	1.05E-04	AURKA,BCL2,BIRC5,CCND2,CCNE1,CDC20,CDC7,CDKN1B,CDKN3,MCM3	 
CKS1B	-4.603	kinase	 	-1.993	4.79E-06	1.34E-04	CCNA2,CCNB1,CDK1,CDKN1B	 
ACTL6A	 	other	Inhibited	-2.828	5.89E-06	1.60E-04	BAD,CCNA2,CCNB1,CCNB2,CCND2,CDC25C,CDK2,CDKN1B	 
MPZ	 	other	 	 	5.89E-06	1.60E-04	DERL3,FDFT1,HMGCR,HMGCS1,JUN,PPP1R15A,SDF2L1,SQLE	 
SIRT1	 	transcription regulator	 	-1.300	6.72E-06	1.80E-04	ABCG1,ANXA4,AURKB,CCNB2,CCND2,CCND3,CD72,CDKN1B,CDKN2C,CEBPB	235 (9)
PDK1	 	kinase	Activated	3.606	8.20E-06	2.17E-04	CCNA2,CCNB1,CCNB2,CCR6,CD38,CDC20,CDC25C,CDC6,CDK1,HEXA	 
ACTB	 	other	 	-1.890	9.78E-06	2.55E-04	AURKA,AURKB,CCNB2,CIT,DSTN,RACGAP1,STMN1	 
EP300	 	transcription regulator	 	 	1.01E-05	2.60E-04	ADORA2A,ANXA6,ARHGAP24,ARHGEF3,BANK1,BCL6,CAPG,CCND3,CCR7,CNN3	51 (3)
CITED2	 	transcription regulator	Inhibited	-2.746	1.10E-05	2.79E-04	ADM,ANGPTL4,ARHGEF3,B2M,BCL2,CD274,CD69,Chil3/Chil4,FUT8,GADD45B	125 (7)
MAPK1	 	kinase	 	0.901	1.39E-05	3.47E-04	DDT,DNMT1,EGR1,FCMR,FOS,GBP2,GMNN,LGALS1,LGALS3,LIG1	21 (3)
STAT5A	 	transcription regulator	 	1.324	1.60E-05	3.95E-04	ABCG1,APOE,BCL2,BCL6,CCND2,CCND3,CCNE1,CDKN1B,CEBPB,CHEK1	166 (11)
DYSF	 	other	 	 	1.75E-05	4.26E-04	AGPAT2,B2M,CD55,CTSS,DNAJB1,ETF1,EVI2A,HLA-A,HSPA1A/HSPA1B,IFI16	 
ELOVL3	 	enzyme	Activated	2.514	1.91E-05	4.60E-04	ACAT2,Acp5,CTSS,FDFT1,HMGCR,IDI1,IFI16,LIPA,LYZ,MSMO1	 
FOXO1	 	transcription regulator	Activated	2.170	1.94E-05	4.61E-04	ATP5MC3,ATP6V0B,BACH2,BANK1,BCL2,CCNA2,CCNF,CCR7,CDKN1B,CDKN2C	66 (4)
NAE1	 	enzyme	Inhibited	-2.449	2.26E-05	5.26E-04	AURKA,AURKB,BIRC5,CCND3,CDC20,CDC25C	 
Tcf7	 	transcription regulator	 	0.451	2.26E-05	5.26E-04	BCL2,C3orf70,CCR6,CD69,CDK1,CHCHD10,CHEK1,E130308A19Rik,EPHX1,EZH2	35 (2)
E2F8	-5.429	transcription regulator	 	1.982	2.30E-05	5.28E-04	CDC6,KIF23,MCM2,RACGAP1	 
BCL6	-3.363	transcription regulator	Inhibited	-2.927	2.39E-05	5.41E-04	ACAT2,ANXA6,BACH2,BCL2,Ccl6,CCND2,CD2,CD274,CD69,CTLA4	84 (6)
NFE2L2	 	transcription regulator	 	-0.499	2.50E-05	5.60E-04	Acp5,AHR,ALAS2,APPBP2,ARHGEF3,B4GALNT1,BCL2,CDKN2C,CTSD,DSTN	 
IFNG	 	cytokine	Activated	4.167	2.63E-05	5.75E-04	AHR,ASNS,B2M,BCL2,BRIP1,BTG1,CCND2,CCR6,CD274,CEBPB	176 (11)
EGFR	 	kinase	Inhibited	-2.240	2.63E-05	5.75E-04	BCL2,BZW2,CBX5,CCNA2,CDK1,CDK2,CEBPB,Chil3/Chil4,E2F1,EGR1	174 (15)
STAT5B	 	transcription regulator	Activated	3.816	2.71E-05	5.86E-04	AHNAK,ALAS2,APOE,BCL2,BCL6,CCND2,CCND3,CCNE1,CHEK1,CIRBP	 
CCND1	 	transcription regulator	Inhibited	-2.530	2.81E-05	5.95E-04	ASPM,BIRC5,CCND2,CCND3,CDCA8,CLSPN,ESCO2,FOXM1,PLK1,RACGAP1	49 (4)
TRAF2	 	enzyme	Inhibited	-2.530	2.81E-05	5.95E-04	ADM,ANXA4,CCR1,IL9R,IRF4,PLBD1,RHBDF1,Serpina3g (includes others),ST8SIA6,TK1	 
SCAP	 	other	Inhibited	-3.075	2.88E-05	6.02E-04	AACS,ASNS,CYP51A1,FADS2,FDFT1,FDPS,HMGCR,HMGCS1,IDI1,LGALS3	 
CD28	 	transmembrane receptor	 	1.748	2.98E-05	6.16E-04	CCND2,CCND3,CCNE1,CCR6,CD69,CDK2,CTLA4,FOS,GBP2,IL27RA	177 (13)
RBL1	-2.142	transcription regulator	 	1.253	3.14E-05	6.28E-04	CCNA2,CCNE1,CDKN1B,DHFR,MCM10,MYBL2,MYC,NEK2,SKP2	74 (5)
GNB2	 	enzyme	 	 	3.14E-05	6.28E-04	AHR,CYTIP,DUSP1,FOSB,NR4A1,PDE4B,PLK2,PTGER4,TSC22D3	 
GNB1	 	enzyme	 	 	3.14E-05	6.28E-04	AHR,CYTIP,DUSP1,FOSB,NR4A1,PDE4B,PLK2,PTGER4,TSC22D3	 
mir-21	 	microRNA	 	-0.494	3.21E-05	6.37E-04	BTG2,CD274,E2F1,EIF2S1,FCGRT,GBP2,GBP7,Gvin1 (includes others),IFI16,Igha	157 (9)
STAT1	 	transcription regulator	 	1.767	3.31E-05	6.50E-04	BAD,BCL2,BCL6,CCR1,CCR6,CCR7,CD274,CDK2,Chil3/Chil4,EGR1	166 (12)
SKIV2L	 	enzyme	 	1.897	3.47E-05	6.73E-04	ASNS,BCAT1,BHLHE40,HMGCR,LDHA,MTHFD2,PPP1R15A,SHMT2,SQLE,TPI1	 
KDM1A	 	enzyme	 	-0.232	3.51E-05	6.75E-04	CAPG,Ccl6,CCND2,CD274,CTSS,ENDOU,GBP2,HBE1,HLA-A,IFI16	 
SH3TC2	 	other	Inhibited	-2.828	4.01E-05	7.63E-04	AACS,CYP51A1,EGR1,FDPS,HMGCR,HMGCS1,IDI1,SQLE	 
TARDBP	-1.299	transcription regulator	Inhibited	-3.148	4.25E-05	8.00E-04	ACAT2,CYP51A1,FDFT1,FDPS,GBP2,HLA-A,HMGCR,HMGCS1,IDI1,SQLE	 
Igkv1-117	 	other	 	 	4.62E-05	8.62E-04	CCND2,CDKN1B,JUN,JUNB,MYC	98 (9)
OSMR	 	transmembrane receptor	 	 	4.82E-05	8.91E-04	BCL2,BIRC5,FOS,GBP2,Igtp,Irgm1,JUNB,OSM,Serpina3g (includes others),SOCS3	144 (9)
IRAK4	 	kinase	 	 	4.94E-05	8.96E-04	BTG2,EGR1,FOS,FOSB,IER2,IRF4,JUN,MAP3K8,NR4A1,PDE4B	194 (17)
PTTG1	 	transcription regulator	Activated	2.704	4.94E-05	8.96E-04	BCL2,CEBPB,CHEK1,FEN1,LIG1,MBD4,MSH3,POLD1,POLH,REV3L	 
MEF2D	 	transcription regulator	 	1.849	4.99E-05	8.96E-04	BACH2,FOS,FOSB,IRF4,JUN,JUNB,KLF2,NR4A1,ZFP36	 
GLI3	 	transcription regulator	Activated	3.317	5.73E-05	1.02E-03	CCND2,CD69,DUSP1,EGR1,FOSB,Gm21596/Hmgb1,HMGB2,JUNB,KLF2,NFKBID	 
TRAF3	 	enzyme	Inhibited	-2.359	5.77E-05	1.02E-03	ADM,ANXA4,CCR1,DGKA,FAAH,IL9R,PLBD1,RHBDF1,Serpina3g (includes others),ST8SIA6	 
PSMB11	 	peptidase	Inhibited	-2.534	6.05E-05	1.06E-03	CCR7,CD2,CTSS,GADD45B,HPSE,HSPA1A/HSPA1B,Hspa1b,IL2RG,ITGB7,LGALS3	 
TOB1	 	transcription regulator	 	1.667	6.22E-05	1.08E-03	CCNA2,CHEK1,GMNN,HJURP,MIS18BP1,PLAC8,RPRM,UBE2T,WDHD1	 
TASP1	 	peptidase	Inhibited	-2.000	6.66E-05	1.11E-03	CCNA2,CCNB1,CCNB2,CCNE1	 
LIN9	 	other	 	-1.980	6.66E-05	1.11E-03	BUB1B,CDC6,CDK1,MYBL2	 
TFF2	 	other	 	-1.000	6.66E-05	1.11E-03	CCNA2,CCND2,CCND3,CCNE1	 
Gm35986	 	other	 	1.980	6.66E-05	1.11E-03	FDFT1,HMGCR,HMGCS1,IDI1	 
SMARCA5	 	transcription regulator	Inhibited	-2.717	7.43E-05	1.23E-03	AHR,ALDH1B1,ASS1,B2M,BCL6,CCND2,GM2A,Gvin1 (includes others),HLA-A,Ly6a (includes others)	 
WT1	 	transcription regulator	 	 	7.70E-05	1.26E-03	FDFT1,IDI1,ITM2B,KLF4,LGALS3,NUCB1,PECAM1,SQLE,YARS1	 
ZFPM1	 	transcription regulator	 	 	7.78E-05	1.27E-03	ANXA5,CEBPB,CECR2,CNN3,IL10RB,IL2RG,IRAK3,KLF6,KLHL6,RGS13	 
GFI1	 	transcription regulator	Inhibited	-3.196	8.19E-05	1.32E-03	ANXA6,CCND2,CCR7,GADD45G,GIMAP4,GPR183,IRAK2,ITGB3,ITGB7,JUN	 
SP1	 	transcription regulator	 	1.457	8.84E-05	1.41E-03	APOE,CCND3,CD55,CDC25B,CDKN1B,DHFR,HBE1,HMGCR,Hspa1b,IRAK3	 
IL2RG	1.852	transmembrane receptor	 	-0.079	9.36E-05	1.48E-03	ABCG1,BCL2,BCL6,CCND3,HLA-A,KLF2,LTB,NPC2,REV3L,RHOH	104 (6)
CKS2	-3.152	kinase	 	 	1.03E-04	1.61E-03	CCNA2,CCNB1,CDK1	 
PTEN	 	phosphatase	 	-0.775	1.08E-04	1.68E-03	BCL2,BIRC5,BRIP1,BTG2,CCNB1,CCNE1,CD274,CDKN1B,CEBPB,CHEK1	146 (12)
IL33	 	cytokine	 	0.632	1.34E-04	2.07E-03	CCR1,Chil3/Chil4,Ear2 (includes others),Gvin1 (includes others),HBA1/HBA2,HCK,IL10RA,NCF4,NHP2,PIK3R5	 
POU5F1	 	transcription regulator	 	-1.897	1.37E-04	2.10E-03	BTG1,CTSB,CTSD,GM2A,HEXA,KLF4,LDHA,LEFTY1,NPC2,PSAP	 
COL5A1	 	other	Inhibited	-2.121	1.38E-04	2.10E-03	APOE,CTSC,CTSD,Gm12854/S100a11,ITGB3,LGALS1,LGALS3,S100A6	 
MHC II	 	group	 	 	1.40E-04	2.11E-03	CTSS,Cyp4f16/Cyp4f37,HBA1/HBA2,HBB,Igha,JCHAIN,TAGAP,Wfdc17,ZFP36	 
SOX4	 	transcription regulator	 	1.604	1.48E-04	2.22E-03	ADGRE5,B3GNT5,BCL2,CD1D,GCAT,H1-10,Ly6a (includes others),LY6D,LYZ,MGST2	 
CHEK1	-3.646	kinase	 	-1.951	1.50E-04	2.22E-03	BUB1,BUB1B,MAD2L1,RRM2	 
FOS	2.780	transcription regulator	 	 	1.51E-04	2.23E-03	Acp5,B4GALT1,CCNE1,CFP,DAP,FOS,GBA,GM2A,HBA1/HBA2,HMMR	 
MEF2C	 	transcription regulator	Activated	2.180	2.02E-04	2.96E-03	BACH2,FOS,FOSB,IRF4,JUN,JUNB,KLF2,NR4A1,ZFP36	 
KIF3A	 	enzyme	 	1.522	2.10E-04	3.05E-03	CYP51A1,HMGCR,HMGCS1,IDI1,MYC	 
IFT88	 	other	Activated	2.416	2.29E-04	3.30E-03	CEBPB,CYP51A1,HMGCR,HMGCS1,IDI1,PYCR2	 
ERK	 	group	 	0.832	2.41E-04	3.42E-03	CCND3,CCNE1,CCR1,CDKN1B,EGR1,HMGA1,MYC,PECAM1,SFTPC	235 (10)
IKBKB	 	kinase	Activated	2.186	2.41E-04	3.42E-03	Acp5,BCL2,CCNB1,CCNB2,CCR1,CDK2,CEBPB,CTSB,FOS,GBP2	143 (12)
ELL2	 	transcription regulator	 	-1.000	2.43E-04	3.42E-03	CNST,EAF2,FUT8,IRF4,MYC,NUCB1,RAPGEF3,SLAMF7,TMEM154,UBE2J1	 
RB1	 	transcription regulator	Activated	3.246	2.64E-04	3.70E-03	AURKB,CCNA2,CCNB1,CCND3,CCNE1,CDC25C,CDC6,CDK1,CDK2,CDKN1B	114 (10)
MAPK8	 	kinase	Activated	2.035	2.79E-04	3.87E-03	BCL2,CDK2,CDKN1B,CEBPB,DUSP1,EGR1,FOS,HMGCR,HMGCS1,JUN	177 (14)
POR	 	enzyme	Activated	2.258	3.07E-04	4.24E-03	ACAT2,AHR,ANXA5,ASNS,CYP51A1,FADS2,FDFT1,FDPS,GADD45B,GBP2	 
Ptprd	 	phosphatase	 	-0.447	3.14E-04	4.26E-03	BIRC5,Ccl6,CDK1,GADD45G,MYC	 
CLCN5	 	ion channel	Activated	2.213	3.14E-04	4.26E-03	CCNE1,CTSB,MKI67,PCNA,TXN	 
QKI	 	other	 	-0.976	3.39E-04	4.58E-03	CTSS,CYP51A1,FDFT1,FDPS,HLA-DOA,HMGCR,HMGCS1,IDI1,MSMO1,SNX2	 
TGFBR2	 	kinase	 	-1.326	3.60E-04	4.83E-03	ADORA2A,ASS1,BCAT1,BCL2,BHLHE40,CCND3,CCNE1,CDKN1B,CTLA4,D17H6S56E-5	 
EIF2AK3	 	kinase	 	1.709	3.84E-04	5.12E-03	AARS1,ABCF2,ASNS,BTG2,CEBPB,CTSC,DERL3,EGR1,JUN,KLF4	68 (5)
PDE8A	 	enzyme	 	 	3.96E-04	5.16E-03	CYP51A1,FDPS,HMGCR	 
Pde4	 	group	 	 	3.96E-04	5.16E-03	CYP51A1,FDPS,HMGCR	 
Cathepsin	 	group	 	 	3.96E-04	5.16E-03	CCND2,CCNE1,MKI67	 
MAX	 	transcription regulator	 	 	4.07E-04	5.26E-03	Ccl6,CCND2,EED,EZH2,MTF2,RBBP4	 
REL	 	transcription regulator	 	-0.617	4.40E-04	5.66E-03	AHR,BACH2,CCND2,CDC6,CMPK1,DHFR,DUT,EZH2,FADS2,FOXO3	28 (2)
SNORD22	 	other	 	 	4.52E-04	5.72E-03	CCND2,CCND3,CCNE1,CDK2,MYC	 
SKP2	-3.844	other	 	1.364	4.52E-04	5.72E-03	CCNE1,CDKN1B,E2F1,EZH2,PCNA	43 (5)
LCK	 	kinase	 	-1.134	4.55E-04	5.72E-03	CD69,EGR1,GADD45B,Gar1,MYC,NHP2,RPS27L,TAF9	68 (4)
SPI1	 	transcription regulator	Activated	2.959	4.57E-04	5.72E-03	Acp5,BCL6,BCL7A,CCNA2,CCR7,CD1D,CDK1,CTSS,E2F1,IRAK3	44 (3)
AIM2	 	other	 	-1.195	4.74E-04	5.90E-03	CSF2RB,Havcr1,HLA-A,ITGB3,Ly6a (includes others),TLR7,VSIR	 
AHR	2.642	ligand-dependent nuclear receptor	 	-0.589	4.85E-04	5.99E-03	ALDH1B1,BTG2,BZW2,CCNA2,CCNB1,CCND3,CCNE1,CCNF,CD274,CDC25B	299 (16)
PIM1	 	kinase	 	1.000	4.99E-04	6.09E-03	BCL2,CD38,MYC,SELL	 
COPS8	 	other	 	-1.000	4.99E-04	6.09E-03	CCND2,CCND3,CCNE1,CDK2	 
